ChEMBL ID,CMPD ID,Max Phase,Molecular Weight,Targets,Bioactivities,AlogP,Polar Surface Area,HBA,HBD,#RO5 Violations,#Rotatable Bonds,Passes Ro3,QED Weighted,CX Acidic pKa,CX Basic pKa,CX LogP,CX LogD,Aromatic Rings,Structure Type,Inorganic Flag,Heavy Atoms,HBA (Lipinski),HBD (Lipinski),#RO5 Violations (Lipinski),Molecular Weight (Monoisotopic),Molecular Species,Molecular Formula,Smiles,Inchi Key
CHEMBL2368696,99629,0,1418.92,1,2,None,None,None,None,None,None,None,None,None,None,None,None,None,MOL,-1,None,None,None,None,1418.2599,None,C40H45N32O22P3,[N-]=[N+]=Nc1nc2c(N)ncnc2n1[C@@H]1O[C@H](COP(=O)(O)O[C@@H]2[C@H](O)[C@@H](COP(=O)(O)O[C@@H]3[C@H](O)[C@@H](COP(=O)(O)O[C@@H]4[C@H](O)[C@@H](CO)O[C@H]4n4c(N=[N+]=[N-])nc5c(N)ncnc54)O[C@H]3n3c(N=[N+]=[N-])nc4c(N)ncnc43)O[C@H]2n2c(N=[N+]=[N-])nc3c(N)ncnc32)[C@@H](O)[C@H]1O,MECYXKPTPRZDEK-QHZFWZHOSA-N
CHEMBL2368698,99630,0,1498.9,1,2,None,None,None,None,None,None,None,None,None,None,None,None,None,MOL,-1,None,None,None,None,1498.2262,None,C40H46N32O25P4,[N-]=[N+]=Nc1nc2c(N)ncnc2n1[C@@H]1O[C@H](COP(=O)(O)O[C@@H]2[C@H](O)[C@@H](COP(=O)(O)O[C@@H]3[C@H](O)[C@@H](COP(=O)(O)O[C@@H]4[C@H](O)[C@@H](COP(=O)(O)O)O[C@H]4n4c(N=[N+]=[N-])nc5c(N)ncnc54)O[C@H]3n3c(N=[N+]=[N-])nc4c(N)ncnc43)O[C@H]2n2c(N=[N+]=[N-])nc3c(N)ncnc32)[C@@H](O)[C@H]1O,XHIKJSKQFMFXAJ-QHZFWZHOSA-N
CHEMBL3628613,99631,0,3863.64,1,1,None,None,None,None,None,None,None,None,None,None,None,None,None,MOL,-1,None,None,None,None,3860.9853,None,C189H265N49O36S2,[N-]=[N+]=NCCCCCC(=O)NCCCC(=O)N[C@@H](CCCCNC(=O)CSC[C@H]1NC(=O)[C@H](Cc2ccc3ccccc3c2)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H](Cc2ccc(O)cc2)NC1=O)C(=O)N1CCC[C@H]1C(=O)N1CCC[C@H]1C(=O)N1CCC[C@H]1C(=O)N1CCC[C@H]1C(=O)N1CCC[C@H]1C(=O)N1CCC[C@H]1C(=O)N1CCC[C@H]1C(=O)N1CCC[C@H]1C(=O)N1CCC[C@H]1C(=O)N1CCC[C@H]1C(=O)N1CCC[C@H]1C(=O)N1CCC[C@H]1C(=O)N1CCC[C@H]1C(=O)N1CCC[C@H]1C(=O)N1CCC[C@H]1C(=O)N1CCC[C@H]1C(=O)N1CCC[C@H]1C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCCNC(=O)CS[C@@H]1NC(=O)[C@H](Cc2ccc3ccccc3c2)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H](Cc2ccc(O)cc2)NC1=O)C(N)=O,HWRJPKRFDYQTMY-JMDIYLTGSA-N
CHEMBL2263358,99632,0,388.11,4,10,None,None,None,None,None,None,None,None,None,None,None,None,None,MOL,-1,None,None,None,None,387.9243,None,C13H14BrN2PSe,[Se]=P1(CBr)CNc2cccc3cccc(c23)NC1,PRFJQCFBKTXAQY-UHFFFAOYSA-N
CHEMBL3087162,99633,0,616.02,4,5,None,None,None,None,None,None,None,None,None,None,None,None,None,MOL,-1,None,None,None,None,614.9485,None,C12H19BCl2N5O11P3S,B[P@@](=O)(OC[C@H]1O[C@@H](n2cnc3c(N)nc(SC)nc32)[C@H](O)[C@@H]1O)OP(=O)(O)C(Cl)(Cl)P(=O)(O)O,UZMQVXFZXVINDW-RRNKNJTESA-N
CHEMBL3087164,99634,0,583.11,5,5,None,None,None,None,None,None,None,None,None,None,None,None,None,MOL,-1,None,None,None,None,583.0076,None,C12H19BF2N5O11P3S,B[P@@](=O)(OC[C@H]1O[C@@H](n2cnc3c(N)nc(SC)nc32)[C@H](O)[C@@H]1O)OP(=O)(O)C(F)(F)P(=O)(O)O,NRVBBOSYQVHECE-RRNKNJTESA-N
CHEMBL3087161,99635,0,547.13,5,5,None,None,None,None,None,None,None,None,None,None,None,None,None,MOL,-1,None,None,None,None,547.0264,None,C12H21BN5O11P3S,B[P@@](=O)(OC[C@H]1O[C@@H](n2cnc3c(N)nc(SC)nc32)[C@H](O)[C@@H]1O)OP(=O)(O)CP(=O)(O)O,ADRGMQYBPXHLCR-QFAMAGJUSA-N
CHEMBL2448335,99636,0,469.12,,,None,None,None,None,None,None,None,None,None,None,None,None,None,MOL,-1,None,None,None,None,469.0394,None,C11H18BN5O9P2S,B[P@@](=O)(OC[C@H]1O[C@@H](n2cnc3c(N)nc(SC)nc32)[C@H](O)[C@@H]1O)OP(=O)(O)O,YVHVJRRKJYBFKK-AIAAUSNSSA-N
CHEMBL2448336,99637,0,549.1,,,None,None,None,None,None,None,None,None,None,None,None,None,None,MOL,-1,None,None,None,None,549.0057,None,C11H19BN5O12P3S,B[P@@](=O)(OC[C@H]1O[C@@H](n2cnc3c(N)nc(SC)nc32)[C@H](O)[C@@H]1O)OP(=O)(O)OP(=O)(O)O,KHMUPMBEWSCYSG-AJBXOXQOSA-N
CHEMBL3087166,99638,0,569.92,4,6,None,None,None,None,None,None,None,None,None,None,None,None,None,MOL,-1,None,None,None,None,568.9608,None,C11H17BCl2N5O11P3,B[P@@](=O)(OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O)OP(=O)(O)C(Cl)(Cl)P(=O)(O)O,JAINGMDYZCRCHP-PFLBIVCZSA-N
CHEMBL3087158,99639,0,501.03,6,9,None,None,None,None,None,None,None,None,None,None,None,None,None,MOL,-1,None,None,None,None,501.0387,None,C11H19BN5O11P3,B[P@@](=O)(OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O)OP(=O)(O)CP(=O)(O)O,WCWFAMSTHLTRGT-JJFKZQFGSA-N
CHEMBL2448333,99640,0,423.02,,,None,None,None,None,None,None,None,None,None,None,None,None,None,MOL,-1,None,None,None,None,423.0516,None,C10H16BN5O9P2,B[P@@](=O)(OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O)OP(=O)(O)O,LYBDVUVBAVYGMN-APIOZJFQSA-N
CHEMBL3087163,99641,0,616.02,2,3,None,None,None,None,None,None,None,None,None,None,None,None,None,MOL,-1,None,None,None,None,614.9485,None,C12H19BCl2N5O11P3S,B[P@](=O)(OC[C@H]1O[C@@H](n2cnc3c(N)nc(SC)nc32)[C@H](O)[C@@H]1O)OP(=O)(O)C(Cl)(Cl)P(=O)(O)O,UZMQVXFZXVINDW-XJBGTQMJSA-N
CHEMBL3087165,99642,0,583.11,4,5,None,None,None,None,None,None,None,None,None,None,None,None,None,MOL,-1,None,None,None,None,583.0076,None,C12H19BF2N5O11P3S,B[P@](=O)(OC[C@H]1O[C@@H](n2cnc3c(N)nc(SC)nc32)[C@H](O)[C@@H]1O)OP(=O)(O)C(F)(F)P(=O)(O)O,NRVBBOSYQVHECE-XJBGTQMJSA-N
CHEMBL3087160,99643,0,547.13,6,9,None,None,None,None,None,None,None,None,None,None,None,None,None,MOL,-1,None,None,None,None,547.0264,None,C12H21BN5O11P3S,B[P@](=O)(OC[C@H]1O[C@@H](n2cnc3c(N)nc(SC)nc32)[C@H](O)[C@@H]1O)OP(=O)(O)CP(=O)(O)O,ADRGMQYBPXHLCR-BUNLBPDVSA-N
CHEMBL2448334,99644,0,469.12,,,None,None,None,None,None,None,None,None,None,None,None,None,None,MOL,-1,None,None,None,None,469.0394,None,C11H18BN5O9P2S,B[P@](=O)(OC[C@H]1O[C@@H](n2cnc3c(N)nc(SC)nc32)[C@H](O)[C@@H]1O)OP(=O)(O)O,YVHVJRRKJYBFKK-YAIWJDNNSA-N
CHEMBL3087167,99645,0,569.92,2,5,None,None,None,None,None,None,None,None,None,None,None,None,None,MOL,-1,None,None,None,None,568.9608,None,C11H17BCl2N5O11P3,B[P@](=O)(OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O)OP(=O)(O)C(Cl)(Cl)P(=O)(O)O,JAINGMDYZCRCHP-GMJOMIMCSA-N
CHEMBL3087159,99646,0,501.03,6,9,None,None,None,None,None,None,None,None,None,None,None,None,None,MOL,-1,None,None,None,None,501.0387,None,C11H19BN5O11P3,B[P@](=O)(OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O)OP(=O)(O)CP(=O)(O)O,WCWFAMSTHLTRGT-JFLFATDKSA-N
